name	section	chapter	status	how	summary	detail
11.9.a	11.9	11. The XForms Submission Module	check	-	HTTP Post as a submission option	unmatched: post | dump: group '11.9.a HTTP Post as a submission option'; group '      Activate the Post Data submit control to replace the page with the form data.       The variable on the page for the request method must equal the value "post".     '; submit 'Po…
11.9.b	11.9	11. The XForms Submission Module	check	-	HTTP Get as a submission option	unmatched: get | dump: group '11.9.b HTTP Get as a submission option'; group '      Activate the Get Data submit control to replace the page with the form data.       The variable on the page for the request method must equal the value "get".     '; submit 'Get D…
11.9.c	11.9	11. The XForms Submission Module	check	-	HTTP Put as a submission option	unmatched: put | dump: group '11.9.c HTTP Put as a submission option'; group '      Activate the Put Data submit control to replace the page with the form data.       The variable on the page for the request method must equal the value "put".     '; submit 'Put D…
11.9.d	11.9	11. The XForms Submission Module	check	-	HTTP multipart-post as a submission option	unmatched: post | dump: group '11.9.d HTTP multipart-post as a submission option'; group '      Activate the Post Data submit control to replace the page with the form data.       The variable on the page for the request method must equal the value "post".     '; …
11.9.e	11.9	11. The XForms Submission Module	check	-	HTTP form-data-post as a submission option	unmatched: post | dump: group '11.9.e HTTP form-data-post as a submission option'; group '      Activate the Post Data submit control to replace the page with the form data.       The variable on the page for the request method must equal the value "post".     '; …
11.9.f	11.9	11. The XForms Submission Module	check	-	HTTP urlencoded-posts as a submission option	unmatched: post | dump: group '11.9.f HTTP urlencoded-posts as a submission option'; group '      Activate the Post Data submit control to replace the page with the form data.       The variable on the page for the request method must equal the value "post".     '…
11.9.g	11.9	11. The XForms Submission Module	review	-	HTTPS Post as a submission option	nothing auto-checkable
11.9.h	11.9	11. The XForms Submission Module	review	-	HTTPS Get as a submission option	nothing auto-checkable
11.9.i	11.9	11. The XForms Submission Module	review	-	HTTPS Put as a submission option	nothing auto-checkable
11.9.j	11.9	11. The XForms Submission Module	review	-	HTTPS multipart-post as a submission option	nothing auto-checkable
11.9.k	11.9	11. The XForms Submission Module	review	-	HTTPS form-data-post as a submission option	nothing auto-checkable
11.9.l	11.9	11. The XForms Submission Module	review	-	HTTPS urlencoded-posts as a submission option	nothing auto-checkable
11.9.m	11.9	11. The XForms Submission Module	review	-	mailto Post as a submission option	nothing auto-checkable
11.9.n	11.9	11. The XForms Submission Module	review	-	File Get as a submission option	nothing auto-checkable
11.9.o	11.9	11. The XForms Submission Module	review	-	File Put as a submission option	nothing auto-checkable
11.9.p	11.9	11. The XForms Submission Module	review	-	mailto urlencoded-posts as a submission option	nothing auto-checkable
11.9.q	11.9	11. The XForms Submission Module	review	-	mailto form-data-post as a submission option	nothing auto-checkable
11.9.1.a	11.9.1	11. The XForms Submission Module	check	-	get submission method	unmatched: blue | dump: group '11.9.1.a get submission method'; group '        When you activate the Use Get Method submit control the page must be replaced by the form data. The         value "blue" must appear in the request URI but must not appear in the form d…
11.9.2.a	11.9.2	11. The XForms Submission Module	check	-	post submission method	unmatched: blue | dump: group '11.9.2.a post submission method'; group '        When you activate the Use Post Method submit control the page must be replaced by the form data. The         value "blue" must appear in the form data.       '; group; submit 'Use Post…
11.9.2.b	11.9.2	11. The XForms Submission Module	check	-	multipart-post submission method	unmatched: blue | dump: group '11.9.2.b multipart-post submission method'; group '        When you activate the Use Multipart-Post Method submit control the page must be replaced by the form data. The         value "blue" must appear in the form data.       '; gro…
11.9.2.c	11.9.2	11. The XForms Submission Module	check	-	form-data-post submission method	unmatched: blue | dump: group '11.9.2.c form-data-post submission method'; group '        When you activate the Use Form-Data-Post Method submit control the page must be replaced by the form data. The         value "blue" must appear in the form data.       '; gro…
11.9.2.d	11.9.2	11. The XForms Submission Module	check	-	urlencoded-post submission method	unmatched: blue | dump: group '11.9.2.d urlencoded-post submission method'; group '        When you activate the Use Urlencoded-Post Method submit control the page must be replaced by the form data.         The value "blue" must appear in the form data.       '; g…
11.9.3.a	11.9.3	11. The XForms Submission Module	check	-	put submission method	unmatched: blue | dump: group '11.9.3.a put submission method'; group '        When you activate the Use Put Method submit control the page must be replaced by the form data.      The value "blue" must appear in the form data.       '; group; submit 'Use Put Metho…
11.9.3.b	11.9.3	11. The XForms Submission Module	check	-	put submission method to local file	unmatched: blue / myfile.txt | dump: group '11.9.3.b put submission method to local file (non-normative)'; group '        When you activate the Use Put Method submit control the value "blue" will be submitted to a         local file called "myfile.txt".       '; group; submit …
11.9.4.a	11.9.4	11. The XForms Submission Module	check	-	delete submission method	unmatched: blue | dump: group '11.9.4.a delete submission method'; group '        When you activate the Use Delete Method submit control the page must be replaced by the form data. The         value "blue" must appear in the request URI but must not appear in the …
11.9.4.b	11.9.4	11. The XForms Submission Module	pass	message	delete submission method deletes a file	message 'You pass'
11.9.5.a	11.9.5	11. The XForms Submission Module	check	-	serialization as application/xml	unmatched: Henry / Acura / white | dump: group '11.9.5.a serialization as application/xml'; group '      When you activate the Submit Data submit control the page must be replaced by the form data.       The data must contain the values "Henry", "Acura", and "white".       The for…
11.9.6.a	11.9.6	11. The XForms Submission Module	check	-	serialization as multipart/related	unmatched: Henry / Acura / white | dump: group '11.9.6.a serialization as multipart/related'; group '      When you activate the Submit Data submit control the page must be replaced by the form       data.       The data must contain the values "Henry", "Acura", and "white".      …
11.9.7.a	11.9.7	11. The XForms Submission Module	check	-	serialization as multipart/form-data	unmatched: Henry / Acura / white | dump: group '11.9.7.a serialization as multipart/form-data'; group '      When you activate the Submit Data submit control the page must be replaced by the form       data.       The data must contain the values "Henry", "Acura", and "white".    …
11.9.8.a	11.9.8	11. The XForms Submission Module	check	-	serialization as application/x-www-form-urlencoded	unmatched: Ren%C3%A9 | dump: group '11.9.8.a serialization as application/x-www-form-urlencoded'; group '      When you activate the Submit Data submit control the page must be replaced by the       form data.       The data must contain the value "Ren%C3%A9".       Th…
11.10.a	11.10	11. The XForms Submission Module	pass	message	submission response with invalid target	message 'xforms-submit-error'
11.10.b	11.10	11. The XForms Submission Module	pass	message	submission response with target receiving text	message 'xforms-submit-error'
11.10.c	11.10	11. The XForms Submission Module	pass	message	submission response with target receiving instance	message 'xforms-submit-error'
11.11.1.a	11.11.1	11. The XForms Submission Module	check	-	representation of SOAP envelope	unmatched: <soap:Envelope> / This is the message / </soap:Envelope> | dump: group '11.11.1.a representation of SOAP envelope'; group '       When you activate the Submit SOAP submit control the page must be replaced by the form data. You must see        the values "<soap:Envelope>", "This is the message", and      …
11.11.2.a	11.11.2	11. The XForms Submission Module	check	-	indicating a SOAP submission	unmatched: application/soap+xml | dump: group '11.11.2.a indicating a SOAP submission'; group '       Activate the Submit SOAP submit control to replace the page with the form data.        The variable on the page for the content type must equal the value "application/soap+xml"  …
11.11.3.a	11.11.3	11. The XForms Submission Module	check	-	SOAP HTTP binding with get method	unmatched: application/soap+xml / ASCII | dump: group '11.11.3.a SOAP HTTP binding with get method'; group '       Activate the Submit SOAP submit control to replace this page with the form data.        The value of the HTTP accept header must begin with the value "application/soap+xml" …
11.11.3.b	11.11.3	11. The XForms Submission Module	check	-	SOAP HTTP binding with post method	unmatched: application/soap+xml | dump: group '11.11.3.b SOAP HTTP binding with post method'; group '       Activate the Submit SOAP submit control to replace this page with the form data.        The value of the content type header must be "application/soap+xml".      '; submit …
11.11.3.c	11.11.3	11. The XForms Submission Module	check	-	SOAP HTTP binding	unmatched: text/xml / ASCII / http://www.google.com | dump: group '11.11.3.c SOAP HTTP binding'; group '       Activate the Submit SOAP submit control to replace this page with the form data.        The value of the content type header must be "text/xml".        and contain the value "ASCII". The va…
11.11.3.d	11.11.3	11. The XForms Submission Module	check	-	SOAP HTTP binding with get method and encoding attribute	unmatched: application/soap+xml / UTF-8 | dump: group '11.11.3.d SOAP HTTP binding with get method and encoding attribute'; group '       Activate the Submit SOAP submit control to replace this page with the form data.        The value of the HTTP accept header must begin with the value …
11.11.3.e	11.11.3	11. The XForms Submission Module	check	-	SOAP HTTP binding with post method and encoding attribute	unmatched: application/soap+xml / UTF-8 | dump: group '11.11.3.e SOAP HTTP binding with post method and encoding attribute'; group '       Activate the Submit SOAP submit control to replace this page with the form data.        The value of the content type header must be "application/soa…
11.11.4.a	11.11.4	11. The XForms Submission Module	pass	message	handling SOAP failure response	message 'xforms-submit-error'
11.11.4.b	11.11.4	11. The XForms Submission Module	review	-	handling SOAP success response	no message observed (form defines 1)
2.1.a	2.1	2. Introduction to XForms	check	-	Introductory Example No. 1	unmatched: Cash / Credit / cash | dump: group '2.1.a Introductory Example No. 1'; group '                 You must see a select1 control with the values "Cash" and "Credit" as well as two                  input controls on the page. When you activate the Submit Now submit control…
2.2.a	2.2	2. Introduction to XForms	check	-	Example: Encapsulation of Instance Data	unmatched: Cash / Credit / cash | dump: group '2.2.a Example: Encapsulation of Instance Data'; group '              You must see a select1 control with the values "Cash" and "Credit" as well as two                  input controls on the page. When you activate the Submit Now subm…
2.3.a	2.3	2. Introduction to XForms	check	-	Example: Value Constraints	unmatched: cash / Cash / Credit | dump: group '2.3.a Example: Value Constraints'; group '                 You must see a select1 control with the values "Cash" and "Credit" as well as two                  input controls on the page.                  The Credit Card Number and Exp…
2.4.a	2.4	2. Introduction to XForms	check	-	Example: Multiple Forms	unmatched: cash / Cash / Credit | dump: group '2.4.a Example: Multiple Forms'; group '                 You must see a select1 control with the values "Cash" and "Credit" as well as two                  input controls on the page.                  The Credit Card Number and Expira…
3.1.a	3.1	3. Document Structure	pass	values	XForms namespace	1 quoted value(s) found
3.2.1.a	3.2.1	3. Document Structure	review	-	id attribute	nothing auto-checkable
3.2.1.b	3.2.1	3. Document Structure	pass	values	foreign attributes	1 quoted value(s) found
3.2.2.a	3.2.2	3. Document Structure	check	-	src attribute	unmatched: Color: | dump: group '3.2.2.a src Attribute (non-normative)'; group '              This test case uses the src attribute to pull instance data from a file.               You must see an input control labeled "Color:" and it must contain the value         …
3.2.3.a	3.2.3	3. Document Structure	pass	values	single-node binding - ref attribute	2 quoted value(s) found
3.2.3.b	3.2.3	3. Document Structure	pass	values	single-node binding - model attribute	3 quoted value(s) found
3.2.3.c	3.2.3	3. Document Structure	pass	values	single-node binding - bind attribute	1 quoted value(s) found
3.2.3.d	3.2.3	3. Document Structure	pass	values	single-node binding - bind attribute overrides ref and model	1 quoted value(s) found
3.2.3.e	3.2.3	3. Document Structure	review	-	single-node binding - invalid bind IDREF	no message observed (form defines 1)
3.2.3.f	3.2.3	3. Document Structure	review	-	single-node binding - invalid model IDREF	no message observed (form defines 1)
3.2.3.g	3.2.3	3. Document Structure	pass	values	first node rule	1 quoted value(s) found
3.2.4.a	3.2.4	3. Document Structure	review	-	node-set binding - nodeset attribute and bind attribute override	nothing auto-checkable
3.2.4.b	3.2.4	3. Document Structure	review	-	node-set binding - model attribute of itemset element	nothing auto-checkable
3.2.4.c	3.2.4	3. Document Structure	review	-	node-set binding - bind attribute of itemset element	nothing auto-checkable
3.2.4.d	3.2.4	3. Document Structure	pass	values	node-set binding - bind attribute overrides model attribute	1 quoted value(s) found
3.2.4.e	3.2.4	3. Document Structure	review	-	node-set binding - invalid model IDREF	no message observed (form defines 1)
3.2.4.f	3.2.4	3. Document Structure	review	-	node-set binding - invalid bind IDREF	no message observed (form defines 1)
3.3.a	3.3.a	3. Document Structure	pass	values	processor must ignore unrecognized foreign-namespaced attributes	1 quoted value(s) found
3.3.1.a1	3.3.1	3. Document Structure	review	-	50 models created	nothing auto-checkable
3.3.1.a2	3.3.1	3. Document Structure	error	-	no models created	load: host document has no xf:model
3.3.1.b	3.3.1	3. Document Structure	review	-	invalid function	no message observed (form defines 1)
3.3.1.c1	3.3.1	3. Document Structure	review	-	valid schema	no message observed (form defines 1)
3.3.1.c2	3.3.1	3. Document Structure	review	-	invalid schema	no message observed (form defines 1)
3.3.1.d1	3.3.1	3. Document Structure	review	-	version attribute	no message observed (form defines 1)
3.3.1.d2	3.3.1	3. Document Structure	review	-	version attribute negative test 1	no message observed (form defines 1)
3.3.1.d3	3.3.1	3. Document Structure	review	-	version attribute negative test 2	no message observed (form defines 1)
3.3.2.a	3.3.2	3. Document Structure	review	-	model with no instance	nothing auto-checkable
3.3.2.b	3.3.2	3. Document Structure	pass	values	instance with inline data	3 quoted value(s) found
3.3.2.c	3.3.2	3. Document Structure	pass	values	instance with resource attribute	3 quoted value(s) found
3.3.2.d	3.3.2	3. Document Structure	review	-	instance with invalid resource link	no message observed (form defines 1)
3.3.2.e	3.3.2	3. Document Structure	pass	values	instance with inline data and resource attribute	3 quoted value(s) found
3.3.2.f	3.3.2	3. Document Structure	pass	values	instance with inline data, resource attribute, and src attribute	6 quoted value(s) found
3.3.2.g	3.3.2	3. Document Structure	review	-	inline content has two top-level nodes in instance element	no message observed (form defines 1)
3.3.2.h	3.3.2	3. Document Structure	review	-	invalid instance causes exception with resource-uri	no message observed (form defines 1)
3.3.4.a	3.3.4	3. Document Structure	pass	values	nodeset attribute of bind element	1 quoted value(s) found
3.3.4.b	3.3.4	3. Document Structure	pass	values	more bind element examples	1 quoted value(s) found
3.4.1.a	3.4.1	3. Document Structure	check	-	extension element	unmatched: color | dump: group '3.4.1.a extension element (non-normative)'; group '      The output element below has a label with the value "color" and should display the value       "blue". It also has an extension element. How it is handled is determined by your…
4.2.1.a	4.2.1	4. Processing Model	review	-	xforms-model-construct event	no message observed (form defines 2)
4.2.1.b1	4.2.1	4. Processing Model	review	-	schemas loaded sucessfully	no message observed (form defines 1)
4.2.1.b2	4.2.1	4. Processing Model	review	-	schemas loaded with an xforms-link-exception	no message observed (form defines 1)
4.2.1.c1	4.2.1	4. Processing Model	pass	values	initial instance defined in external source	1 quoted value(s) found
4.2.1.c2	4.2.1	4. Processing Model	pass	values	external source takes precedence over inline source for initial instance data	1 quoted value(s) found
4.2.1.c3	4.2.1	4. Processing Model	review	-	initial instance defined in invalid external source	no message observed (form defines 1)
4.2.1.d	4.2.1	4. Processing Model	review	-	xforms-model-construct-done event is dispatched for each model	no message observed (form defines 2)
4.2.2.a	4.2.2	4. Processing Model	review	-	xforms-model-construct and xforms-model-construct-done events	no message observed (form defines 2)
4.2.2.b	4.2.2	4. Processing Model	check	-	xforms-model-construct-done	unmatched: Mitsubishi | dump: group '4.2.2.b xforms-model-construct-done'; group '      You must not see the value "Mitsubishi":   '; output [hidden]
4.2.2.c1	4.2.2	4. Processing Model	check	-	form control referenced instance that did not exist yet	unmatched: your input | dump: group '4.2.2.c1 form control referenced instance that did not exist yet'; group '      You must be able to type in the input and see the result in the output as car="your input"   '; input 'Type a car model:'; output = car=
4.2.2.c2	4.2.2	4. Processing Model	review	-	invalid QNAME causes xforms-binding-exception	no message observed (form defines 1)
4.2.3.a	4.2.3	4. Processing Model	check	-	xforms-model-construct-done and xforms-ready events	unmatched: xforms-ready dispatched | dump: group '4.2.3.a xforms-model-construct-done and xforms-ready events'; group '       You must have seen two messages.  One must have said "xforms-model-construct-done was        dispatched" and the other must have said "xforms-ready dispatche…
4.2.4.a	4.2.4	4. Processing Model	review	-	xforms-model-destruct dispatched after form submission	nothing auto-checkable
4.3.1.a	4.3.1	4. Processing Model	pass	message	xforms-rebuild event	message 'xforms-rebuild'
4.3.2.a	4.3.2	4. Processing Model	pass	message	xforms-recalculate event	message 'xforms-recalculate'
4.3.3.a	4.3.3	4. Processing Model	review	-	xforms-revalidate event	no message observed (form defines 1)
4.3.4.a	4.3.4	4. Processing Model	review	-	xforms-refresh event	no message observed (form defines 1)
4.3.5.a	4.3.5	4. Processing Model	pass	message	xforms-reset event	message 'xforms-reset'
4.3.6.a	4.3.6	4. Processing Model	pass	message	xforms-previous and xforms-next	message 'xforms-previous'
4.3.6.b	4.3.6	4. Processing Model	review	-	navigation sequence with navindex	nothing auto-checkable
4.3.7.a	4.3.7	4. Processing Model	pass	message	xforms-focus event	message 'xforms-focus'
4.3.8.a	4.3.8	4. Processing Model	pass	message	xforms-help and xforms-hint events	message 'xforms-help'
4.4.1.a	4.4.1	4. Processing Model	pass	values	xforms-insert event	2 quoted value(s) found
4.4.2.a	4.4.2	4. Processing Model	pass	values	xforms-delete action	2 quoted value(s) found
4.4.3.a	4.4.3	4. Processing Model	pass	message	xforms-value-changed event	message 'xforms-value-changed'
4.4.4.a	4.4.4	4. Processing Model	review	-	xforms-valid event	no message observed (form defines 1)
4.4.5.a	4.4.5	4. Processing Model	pass	message	xforms-invalid event	message 'xforms-invalid'
4.4.6.a	4.4.6	4. Processing Model	review	-	xforms-readonly event	no message observed (form defines 1)
4.4.7.a	4.4.7	4. Processing Model	review	-	xforms-readwrite event	no message observed (form defines 1)
4.4.8.a	4.4.8	4. Processing Model	review	-	xforms-required event	no message observed (form defines 1)
4.4.9.a	4.4.9	4. Processing Model	review	-	xforms-optional event	no message observed (form defines 1)
4.4.10.a	4.4.10	4. Processing Model	review	-	xforms-enabled event	no message observed (form defines 1)
4.4.11.a	4.4.11	4. Processing Model	review	-	xforms-disabled event	no message observed (form defines 1)
4.4.12.a	4.4.12	4. Processing Model	pass	message	DOMActivate event	message 'DOMActivate'
4.4.13.a	4.4.13	4. Processing Model	review	-	DOMFocusIn event	no message observed (form defines 1)
4.4.14.a	4.4.14	4. Processing Model	review	-	DOMFocusOut event	no message observed (form defines 1)
4.4.15.a	4.4.15	4. Processing Model	check	-	xforms-select and xforms-deselect events	unmatched: Subaru / Subaru | dump: group '4.4.15.a xforms-select and xforms-deselect events'; group '         You must see an xforms-select message when the value "Subaru" is selected in          the select control.          You must see an xforms-deselect message when the v…
4.4.16.a	4.4.16	4. Processing Model	review	-	xforms-in-range event	no message observed (form defines 2)
4.4.17.a	4.4.17	4. Processing Model	review	-	xforms-out-of-range event	no message observed (form defines 1)
4.4.18.a	4.4.18	4. Processing Model	pass	message	xforms-scroll-first and xforms-scroll-last events	message 'xforms-scroll-last'
4.5.1.a1	4.5.1	4. Processing Model	review	-	xforms-binding-exception, invalid model attribute	no message observed (form defines 1)
4.5.1.a2	4.5.1	4. Processing Model	review	-	xforms-binding-exception, invalid bind attribute	no message observed (form defines 1)
4.5.1.a3	4.5.1	4. Processing Model	review	-	xforms-binding-exception, invalid submission attribute	no message observed (form defines 1)
4.5.1.a4	4.5.1	4. Processing Model	review	-	xforms-binding-exception, invalid instance attribute of submission attribute	no message observed (form defines 1)
4.5.1.a5	4.5.1	4. Processing Model	review	-	xforms-binding-exception, illegal binding expression	no message observed (form defines 2)
4.5.2.a	4.5.2	4. Processing Model	error	-	xforms-compute-exception	load: unexpected token '@'
4.5.3.a	4.5.3	4. Processing Model	missing	-	xforms-version-exception	manifest links a file that does not exist
4.5.4.a	4.5.4	4. Processing Model	review	-	xforms-link-exception	no message observed (form defines 1)
4.5.5.a	4.5.5	4. Processing Model	review	-	xforms-output-error event	no message observed (form defines 1)
4.6.1.a1	4.6.1	4. Processing Model	check	-	event sequencing for input, secret, textarea controls	unmatched: Value Change | dump: group '4.6.1.a1 event Sequencing for input, secret, textarea controls'; group '       You must see a series of outputs for a "Value Change" sequence (xforms-recalculate, xforms-revalidate,        and xforms-refresh) every time the value in …
4.6.1.a2	4.6.1	4. Processing Model	check	-	event sequenceing for range and upload controls	unmatched: Value Change | dump: group '4.6.1.a2 event sequencing for range and upload controls'; group '       When the values in the controls are changed you must see a series of outputs for a "Value Change"        sequence (xforms-recalculate, xforms-revalidate, and xfo…
4.6.1.b1	4.6.1	4. Processing Model	check	-	event sequencing for input, secret, textarea controls - focus change with value change	unmatched: Value Change | dump: group '4.6.1.b1 event sequencing for input, secret, textarea controls - focus change with value change'; group '       When you activate one of the 'Test' triggers below you must see a series of outputs for a "Value Change"        sequence …
4.6.1.b2	4.6.1	4. Processing Model	check	-	event sequenceing for range and upload controls - focus change with value change	unmatched: Value Change | dump: group '4.6.1.b2 event sequenceing for range and upload controls - focus change with value change'; group '       When you activate one of the 'Test' triggers below you must see a series of outputs for a "Value Change"        sequence (xform…
4.6.3.a	4.6.3	4. Processing Model	check	-	event sequencing for select/select1 controls with incremental="true"	unmatched: xforms-deselect / xforms-select / xforms-recalculate / xforms-revalidate / xforms-refresh / xforms-value-changed / xforms-select / xforms-recalculate / xforms-revalidate / xforms-refresh / xforms-value-changed / true | dump: group '4.6.3.a event sequencing for select/select1 controls with incremental="true"'; group 'When a value is selected you must see the output "xforms-select". The value in             parentheses indicates which form control the event came …
4.6.3.b	4.6.3	4. Processing Model	check	-	event sequencing for select/select1 controls without incremental="true"	unmatched: xforms-select / xforms-deselect / false | dump: group '4.6.3.b event sequencing for select/select1 controls with incremental="false"'; group '                 When selecting and deselecting items within one of the selection controls, messages for "xforms-select"                 and "xfor…
4.6.3.c	4.6.3	4. Processing Model	check	-	event sequencing for select/select1 controls (focus changes)	unmatched: xforms-recalculate / xforms-revalidate / xforms-refresh / xforms-select / xforms-deselect / false | dump: group '4.6.3.c event sequencing for select/select1 controls with incremental="false" (focus changes)'; group '                 When changing focus between the two controls, messages for "xforms-recalculate", "xforms-revalidate",            …
4.6.4.a	4.6.4	4. Processing Model	pass	message	event sequencing for trigger controls	message 'DOMActivate'
4.6.5.a	4.6.5	4. Processing Model	pass	message	event sequencing for submit controls	message 'DOMActivate'
4.7.a	4.7	4. Processing Model	review	-	invalid ID references that terminate with no effect	no message observed (form defines 2)
4.7.b	4.7	4. Processing Model	review	-	xforms-submit event not dispatched	no message observed (form defines 1)
4.7.c	4.7	4. Processing Model	pass	values	null result of IDREF search by index() function	1 quoted value(s) found
4.7.d	4.7	4. Processing Model	review	-	null result of IDREF search by instance() function	nothing auto-checkable
4.7.e1	4.7	4. Processing Model	review	-	null search for bind causes exception	no message observed (form defines 1)
4.7.e2	4.7	4. Processing Model	review	-	null search for model causes exception	no message observed (form defines 1)
4.7.e3	4.7	4. Processing Model	review	-	null search for instance causes exception	no message observed (form defines 1)
4.8.1.a	4.8.1	4. Processing Model	check	-	getInstanceDocument() method	unmatched: blue | dump: group '4.8.1.a getInstanceDocument() method (non-normative)'; group '     This test case uses Javascript to execute the getInstanceDocument() method.      You may have seen a message box with the value "blue".    '
4.8.1.b	4.8.1	4. Processing Model	check	-	getInstanceDocument() throws a DOMException	unmatched: DOMException | dump: group '4.8.1.b getInstanceDocument() throws a DOMException (non-normative)'; group '     This test case uses Javascript to execute the getInstanceDocument() method.      You may have seen a message box with the value "DOMException".    '
5.1.a	5.1	5. Datatypes	pass	values	built-in primitive types	2 quoted value(s) found
5.1.b	5.1	5. Datatypes	pass	values	built-in derived types	2 quoted value(s) found
5.1.c	5.1	5. Datatypes	pass	values	supported primitive XML schema types in basic processors	2 quoted value(s) found
5.1.d	5.1	5. Datatypes	check	-	supported derived XML schema types in basic processors	unmatched: xforms-valid | dump: group '5.1.d supported derived XML schema types in basic processors'; group '  When you activate the Valid Values trigger you must see an "xforms-valid" output for all the   data types. When you activate the Invalid Values trigger you must …
5.1.e	5.1	5. Datatypes	check	-	built-in primitive type via xsi:type	unmatched: xforms-valid | dump: group '5.1.e built-in primitive type via xsi:type'; group '     When you activate the Valid Value trigger you must see an "xforms-valid" output      for the date data type. When you activate the Invalid Value trigger you must see an      "X…
5.2.1.a	5.2.1	5. Datatypes	review	-	XForms datatypes to allow empty content - built-in primitive types	nothing auto-checkable
5.2.1.b	5.2.1	5. Datatypes	review	-	XForms datatypes to allow empty content - built-in derived types	nothing auto-checkable
5.2.1.c	5.2.1	5. Datatypes	review	-	built-in data types which allow empty content for basic processors	nothing auto-checkable
5.2.2.a	5.2.2	5. Datatypes	check	-	listItem datatype	unmatched: You entered a valid listItem | dump: group '5.2.2.a listItem datatype'; group '      You must have seen the message "You entered a valid listItem".     '; input 'Colors available (listItem)' = RedBlueGreen
5.2.3.a	5.2.3	5. Datatypes	check	-	listItems datatype	unmatched: You entered a valid listItems | dump: group '5.2.3.a listItems datatype'; group '      You must have seen the message "You entered a valid listItems".     '; input 'Colors available (listItems)' = Red Blue Green
5.2.4.a	5.2.4	5. Datatypes	check	-	dayTimeDuration datatype	unmatched: You entered a valid dayTimeDuration | dump: group '5.2.4.a dayTimeDuration datatype'; group '      You must have seen the message "You entered a valid dayTimeDuration".      '; input 'Length of rental car lease (dayTimeDuration)' = P5DT3H4M2S
5.2.5.a	5.2.5	5. Datatypes	check	-	yearMonthDuration datatype	unmatched: You entered a valid yearMonthDuration | dump: group '5.2.5.a yearMonthDuration datatype'; group '      You must have seen the message "You entered a valid yearMonthDuration".     '; input 'Length of car lease (yearMonthDuration)' = P100Y1M
5.2.6.a	5.2.6	5. Datatypes	pass	message	email datatype	message 'You entered an invalid email'
5.2.7.a	5.2.7	5. Datatypes	pass	message	card-number datatype	message 'You entered an invalid card-number'
5.2.7.b	5.2.7	5. Datatypes	pass	message	card-number datatype - credit card example	message 'Invalid ID number'
6.1.1.a	6.1.1	6. Model Item Properties	pass	message	type property	message 'You have entered a valid gMonth'
6.1.2.a	6.1.2	6. Model Item Properties	pass	values	readonly property	2 quoted value(s) found
6.1.2.b	6.1.2	6. Model Item Properties	pass	values	inheritance rules of readonly property	2 quoted value(s) found
6.1.3.a	6.1.3	6. Model Item Properties	review	-	required property	nothing auto-checkable
6.1.4.a	6.1.4	6. Model Item Properties	review	-	inheritance rules for relevant property	nothing auto-checkable
6.1.4.b	6.1.4	6. Model Item Properties	check	-	relevant property	unmatched: Discount : 100 | dump: group '6.1.4.b relevant property'; group '     You must see the output "Discount : 100" after you activate the Enter 1500 trigger, but      not when you activate the Enter 250 trigger.     '; input 'Order Amount:'; output 'Discount : ' = 10…
6.1.4.c	6.1.4	6. Model Item Properties	review	-	relevant property inheritance to attributes	nothing auto-checkable
6.1.5.a	6.1.5	6. Model Item Properties	check	-	calculate property	unmatched: Discount : 750 / Discount : 1000 | dump: group '6.1.5.a calculate property'; group '     You must see the output "Discount : 750" after you have activated the Enter 1500 trigger.      You must see the output "Discount : 1000" after you have activated the Enter 2000 trigger.     ';…
6.1.6.a	6.1.6	6. Model Item Properties	pass	message	constraint property	message 'xforms-valid'
6.1.7.a	6.1.7	6. Model Item Properties	review	-	p3ptype property	nothing auto-checkable
6.2.1.a	6.2.1	6. Model Item Properties	review	-	atomic datatype	no message observed (form defines 2)
7.2.a	7.2	7. XPath Expressions in XForms	pass	values	evaluation context for the outermost binding elements	3 quoted value(s) found
7.2.b	7.2	7. XPath Expressions in XForms	pass	values	evaluation context for the non-outermost binding elements	3 quoted value(s) found
7.2.c	7.2	7. XPath Expressions in XForms	check	-	context node always resides within the context model	unmatched: 3 | dump: group '     7.2.c context node always resides within the context model    '; group '     You must see a value of "1" for the First Number output, a value of "2" for the      Second Number output, and a value of "3" for the Third Number outp…
7.2.d	7.2	7. XPath Expressions in XForms	pass	values	context node for the computed expression is the node currently being processed	3 quoted value(s) found
7.2.e	7.2	7. XPath Expressions in XForms	pass	values	context size and position	3 quoted value(s) found
7.2.f	7.2	7. XPath Expressions in XForms	pass	values	namespace declarations in scope for the attribute are applied to the expression	1 quoted value(s) found
7.4.6.a	7.4.6	7. XPath Expressions in XForms	pass	values	binding examples	1 quoted value(s) found
7.5.a	7.5	7. XPath Expressions in XForms	review	-	error in modal item property causes an xforms-compute-exception	no message observed (form defines 1)
7.5.b	7.5	7. XPath Expressions in XForms	review	-	error not in modal item property causes an xforms-binding-exception	no message observed (form defines 1)
7.6.1.a	7.6.1	7. XPath Expressions in XForms	pass	values	boolean-from-string() function	2 quoted value(s) found
7.6.2.a	7.6.2	7. XPath Expressions in XForms	pass	values	is-card-number() function	2 quoted value(s) found
7.7.1.a	7.7.1	7. XPath Expressions in XForms	pass	values	avg() function	1 quoted value(s) found
7.7.1.b	7.7.1	7. XPath Expressions in XForms	pass	values	avg() function negative test	1 quoted value(s) found
7.7.2.a	7.7.2	7. XPath Expressions in XForms	pass	values	min() function	1 quoted value(s) found
7.7.2.b	7.7.2	7. XPath Expressions in XForms	pass	values	min() function negative test	1 quoted value(s) found
